045056910_Contig_2544_Len717_OG5_133528	Ba_cy_syne_NP898586_OG5_133528	36.5	200	122	4	21	220	10	204	2e-30	132.1

072044961_Contig_2929_Len603_OG5_164808	Ba_pg_cbur_NP820272_OG5_164808	40.9	181	104	3	8	186	9	188	6.6e-32	136.7

045053399_Contig_4165_Len297_OG5_128045	Ba_cy_syne_NP897296_OG5_128045	48.9	94	48	0	1	94	1	94	9.3e-19	92.0

045054703_Contig_3969_Len348_OG5_170113	Ba_cy_syne_NP898347_OG5_170113	54.5	112	50	1	1	112	1	111	2.1e-30	131.0

045057246_Contig_1738_Len966_OG5_127872	Op_me_amel_XP001121058_OG5_127872	37.5	320	181	5	5	313	9	320	3.4e-54	211.5

045053742_Contig_1564_Len1035_OG5_131993	Pl_gr_atha_NP566180_OG5_131993	53.0	296	124	2	13	304	81	365	1.2e-81	302.8

045055171_Contig_1518_Len1050_OG5_129003	Ba_de_drad_NP295540_OG5_129003	50.7	343	168	1	8	349	11	353	2.3e-97	354.4

045056189_Contig_3262_Len516_OG5_130367	Ba_pa_atum_NP354390_OG5_130367	52.7	150	62	3	26	170	5	150	8e-34	142.9

045053610_Contig_3246_Len522_OG5_138624	Ba_pl_rbal_NP864893_OG5_138624	40.0	150	87	2	7	154	2	150	3.8e-23	107.5

045055658_Contig_1839_Len930_OG5_131363	Pl_gr_crei_59715_OG5_131363	54.8	299	120	4	16	306	84	375	3.2e-89	327.8

045056659_Contig_2333_Len783_OG5_129908	Ba_fb_bant_YP019562_OG5_129908	41.2	257	150	1	3	258	21	277	9.3e-58	223.0

045054754_Contig_2959_Len597_OG5_126956	Ba_cy_syne_NP897030_OG5_126956	44.8	134	72	2	14	147	11	142	4.7e-25	114.0

045052914_Contig_478_Len1731_OG5_177080	Ba_cy_syne_NP897316_OG5_177080	42.4	500	249	14	8	494	28	501	3.2e-104	377.9

