012408204_Contig_1674_Len1272_OG5_135052	Ba_pb_bmal_YP106499_OG5_135052	23.8	252	164	5	191	419	169	415	7.7e-15	80.5

012410264_Contig_3583_Len759_OG5_139049	Ba_cy_syne_NP897002_OG5_139049	42.9	182	101	2	27	208	21	199	2.2e-35	148.7

012411064_Contig_549_Len2148_OG5_132151	Ba_pl_rbal_NP868510_OG5_132151	33.1	308	190	8	325	622	294	595	3.4e-38	159.5

012409821_Contig_80_Len4596_OG5_136156	Op_fu_gzea_FGST08571_OG5_136156	29.8	567	347	17	431	983	1	530	1.8e-55	218.0

012411806_Contig_4921_Len477_OG5_150248	Pl_gr_otau_egw1.09.00.444.1_OG5_150248	37.8	148	90	2	12	158	38	184	2.5e-21	101.3

012411816_Contig_374_Len2496_OG5_131505	Ba_cy_syne_NP897186_OG5_131505	51.3	846	379	14	7	831	3	836	1.3e-217	755.7

012412229_Contig_568_Len2118_OG5_126744	Am_my_ddis_mhsp70_OG5_126744	49.6	605	293	5	2	604	30	624	3.1e-164	578.2

012412285_Contig_3381_Len801_OG5_127371	Op_fu_ecun_ECU071320_OG5_127371	20.6	272	199	3	8	263	56	326	8.4e-14	77.0

012409406_Contig_3472_Len780_OG5_138094	Pl_gr_otau_egw1.06.00.344.1_OG5_138094	45.8	249	133	1	13	259	49	297	2.8e-62	238.0

012410841_Contig_1543_Len1320_OG5_134650	Ba_cy_syne_NP898285_OG5_134650	67.5	440	138	2	4	438	13	452	4.2e-175	613.6

012407092_Contig_1694_Len1266_OG5_127763	Ba_pd_gsul_NP954252_OG5_127763	33.3	405	270	0	16	420	11	415	6.9e-63	240.7

012413056_Contig_4965_Len471_OG5_136230	Ba_fb_lmon_NP464317_OG5_136230	40.0	155	93	0	2	156	4	158	1.2e-28	125.6

012410506_Contig_2873_Len918_OG5_127041	Ba_cy_syne_NP897692_OG5_127041	61.5	299	115	0	1	299	1	299	4.5e-104	377.1

148220456_Contig_1986_Len1170_OG5_139237	Sr_ap_tpar_XP766504_OG5_139237	27.8	284	164	10	15	279	54	315	2.4e-18	92.0

012409845_Contig_643_Len1989_OG5_140300	Ba_pd_gsul_NP952026_OG5_140300	37.5	650	361	16	52	662	89	732	1.1e-99	363.6

012409901_Contig_5993_Len294_OG5_131873	Ba_cy_syne_NP896387_OG5_131873	54.3	92	42	0	2	93	4	95	5.4e-22	102.8

012409827_Contig_3106_Len867_OG5_127943	Ba_fb_bant_YP022258_OG5_127943	45.0	282	154	1	4	285	3	283	1.3e-65	249.2

012407017_Contig_4983_Len465_OG5_130855	Za_cr_hbut_YP001012697_OG5_130855	46.4	153	80	2	1	151	19	171	1.2e-36	152.1

041565661_Contig_5052_Len456_OG5_131265	Ba_fb_lmon_NP465602_OG5_131265	45.7	140	71	2	1	139	3	138	6.4e-27	119.8

012412253_Contig_3464_Len783_OG5_129884	Za_eh_halo_NP281130_OG5_129884	41.2	243	142	1	16	258	34	275	8.9e-48	189.9

012412081_Contig_5799_Len330_OG5_139990	Ba_cy_syne_NP896112_OG5_139990	55.5	110	46	2	1	108	1	109	3e-26	117.1

012410262_Contig_6214_Len258_OG5_152367	Ba_cy_syne_NP897000_OG5_152367	56.6	76	31	1	1	76	1	74	4.8e-17	85.5

012408934_Contig_832_Len1734_OG5_127559	Pl_rh_Gsul_005702596Contig2541Len1335_OG5_127559	28.3	321	205	11	13	322	4	310	3.5e-20	99.4

012410055_Contig_747_Len1848_OG5_131651	EE_ha_Ehux_005759595Contig7956Len1386_OG5_131651	30.4	372	235	11	2	358	20	382	2.3e-30	133.3

012412778_Contig_1039_Len1584_OG5_160471	Ba_cy_syne_NP897051_OG5_160471	24.9	301	188	6	237	527	106	378	4.5e-30	132.1

012412697_Contig_4141_Len639_OG5_126593	Sr_ch_Vbra_Contig15890length798_OG5_126593	47.6	225	103	6	1	211	42	265	8e-52	203.0

012407161_Contig_746_Len1851_OG5_156714	Ba_pl_rbal_NP867545_OG5_156714	29.0	307	195	10	187	487	237	526	6.3e-28	125.2

012411797_Contig_5599_Len363_OG5_130130	Ba_cy_syne_NP896302_OG5_130130	76.7	120	28	0	1	120	1	120	4.8e-49	193.0

148220251_Contig_1311_Len1422_OG5_135373	Ba_pd_wsuc_NP906984_OG5_135373	29.1	364	208	14	123	450	21	370	1.7e-30	133.3

012411423_Contig_3632_Len747_OG5_128747	Ba_fc_cbot_YP001715646.1_OG5_128747	41.0	217	123	4	32	245	2	216	3.5e-38	157.9

012412701_Contig_383_Len2457_OG5_128102	Ba_pl_rbal_NP869009_OG5_128102	33.8	674	411	9	5	662	58	712	3.3e-109	395.6

012410676_Contig_2743_Len954_OG5_149840	Ba_cy_syne_NP896927_OG5_149840	51.6	310	146	1	7	316	11	316	7e-84	310.1

012411656_Contig_1904_Len1191_OG5_138781	Pl_gr_crei_182359_OG5_138781	46.6	337	164	8	64	393	93	420	1.7e-72	271.9

012413213_Contig_263_Len2892_OG5_126596	Pl_gr_rcom_28531.m000016_OG5_126596	30.2	539	337	13	439	962	67	581	1.4e-50	201.1

012410125_Contig_3060_Len879_OG5_126671	Ba_cy_syne_NP896833_OG5_126671	56.9	283	118	1	6	288	2	280	2e-83	307.8

012412673_Contig_2734_Len957_OG5_135129	Za_cr_ssol_NP344201_OG5_135129	31.0	316	186	11	1	310	1	290	9.8e-33	140.2

041566111_Contig_4177_Len630_OG5_127928	Ba_pg_ecol_AP002529_OG5_127928	33.0	209	132	2	6	206	1	209	7e-27	120.2

012407983_Contig_1940_Len1182_OG5_144954	Ba_cy_syne_NP898289_OG5_144954	54.6	377	170	1	13	389	8	383	4e-121	434.1

012407291_Contig_1140_Len1515_OG5_130799	Pl_gr_osat_NP001051890_OG5_130799	42.9	506	267	5	1	502	30	517	4.2e-115	414.5

